time,total,perc_randomised,perc_vendor,count_randomised,count_vendor,apple,not_apple,day
2021-09-06 07:00:00,4,0.4756756756756757,0.5243243243243243,88,97,0.0,97.0,Monday
2021-09-06 07:30:00,16,0.32063492063492066,0.6793650793650794,101,214,0.0,214.0,Monday
2021-09-06 08:00:00,21,0.5900383141762452,0.4099616858237548,308,214,2.0,212.0,Monday
2021-09-06 08:30:00,20,0.375,0.625,159,265,4.0,261.0,Monday
2021-09-06 09:00:00,21,0.5400981996726678,0.45990180032733224,330,281,4.0,277.0,Monday
2021-09-06 09:30:00,44,0.6335877862595419,0.366412213740458,581,336,5.0,331.0,Monday
2021-09-06 10:00:00,58,0.6882470119521913,0.31175298804780877,691,313,3.0,310.0,Monday
2021-09-06 10:30:00,32,0.719047619047619,0.28095238095238095,906,354,10.0,344.0,Monday
2021-09-06 11:00:00,36,0.6392075078206465,0.3607924921793535,613,346,11.0,335.0,Monday
2021-09-06 11:30:00,35,0.6816443594646272,0.31835564053537285,713,333,4.0,329.0,Monday
2021-09-06 12:00:00,28,0.6682966585167074,0.33170334148329256,820,407,3.0,404.0,Monday
2021-09-06 12:30:00,33,0.6430834213305174,0.35691657866948256,609,338,3.0,335.0,Monday
2021-09-06 13:00:00,36,0.6710526315789473,0.32894736842105265,663,325,4.0,321.0,Monday
2021-09-06 13:30:00,53,0.6961805555555556,0.3038194444444444,802,350,4.0,346.0,Monday
2021-09-06 14:00:00,51,0.6967370441458733,0.30326295585412666,726,316,2.0,314.0,Monday
2021-09-06 14:30:00,35,0.6122209165687427,0.38777908343125733,521,330,3.0,327.0,Monday
2021-09-06 15:00:00,57,0.6375545851528385,0.3624454148471616,584,332,4.0,328.0,Monday
2021-09-06 15:30:00,50,0.5688073394495413,0.43119266055045874,496,376,10.0,366.0,Monday
2021-09-06 16:00:00,49,0.6393258426966292,0.36067415730337077,569,321,4.0,317.0,Monday
2021-09-06 16:30:00,56,0.6514598540145985,0.34854014598540145,714,382,6.0,376.0,Monday
2021-09-06 17:00:00,63,0.6810273405136703,0.31897265948632975,822,385,9.0,376.0,Monday
2021-09-06 17:30:00,28,0.5566037735849056,0.44339622641509435,354,282,2.0,280.0,Monday
