time,total,perc_randomised,perc_vendor,count_randomised,count_vendor,apple,not_apple
2021-11-22 12:00:00,499,0.1497005988023952,0.8502994011976048,25,142,1.0,141.0
2021-11-23 00:00:00,311,0.12749003984063745,0.8725099601593626,32,219,0.0,219.0
2021-11-23 12:00:00,510,0.10956175298804781,0.8904382470119522,55,447,1.0,446.0
2021-11-24 00:00:00,252,0.03592814371257485,0.9640718562874252,12,322,0.0,322.0
2021-11-24 12:00:00,527,0.24754901960784315,0.7524509803921569,101,307,0.0,307.0
2021-11-25 00:00:00,329,0.13694267515923567,0.8630573248407644,43,271,0.0,271.0
2021-11-25 12:00:00,603,0.07183908045977011,0.9281609195402298,50,646,25.0,621.0
2021-11-26 00:00:00,507,0.006880733944954129,0.9931192660550459,3,433,20.0,413.0
2021-11-26 12:00:00,870,0.10288461538461538,0.8971153846153846,107,933,49.0,884.0
2021-11-27 00:00:00,546,0.015189873417721518,0.9848101265822785,6,389,3.0,386.0
2021-11-27 12:00:00,787,0.04451510333863275,0.9554848966613673,28,601,86.0,515.0
2021-11-28 00:00:00,480,0.16055045871559634,0.8394495412844036,70,366,19.0,347.0
2021-11-28 12:00:00,745,0.07598784194528875,0.9240121580547113,50,608,41.0,567.0
