time,total,perc_randomised,perc_vendor,count_randomised,count_vendor,apple,not_apple
2021-08-14,0,1.0,0.0,4,0,0.0,0.0
2021-08-15,0,0.8333333333333334,0.16666666666666666,5,1,0.0,1.0
2021-08-16,4,1.0,0.0,7,0,0.0,0.0
2021-08-17,0,1.0,0.0,3,0,0.0,0.0
2021-08-18,0,1.0,0.0,7,0,0.0,0.0
2021-08-19,2,0.875,0.125,7,1,0.0,1.0
2021-08-20,0,1.0,0.0,6,0,0.0,0.0
2021-08-21,4,1.0,0.0,9,0,0.0,0.0
2021-08-22,0,0.8888888888888888,0.1111111111111111,8,1,0.0,1.0
2021-08-23,0,0.8888888888888888,0.1111111111111111,8,1,0.0,1.0
2021-08-24,0,1.0,0.0,5,0,0.0,0.0
2021-08-25,3,0.3333333333333333,0.6666666666666666,1,2,0.0,2.0
2021-08-26,0,1.0,0.0,10,0,0.0,0.0
2021-08-27,557,0.8571428571428571,0.14285714285714285,6,1,0.0,1.0
