time,total,perc_randomised,perc_vendor,count_randomised,count_vendor,apple,not_apple,day
2021-06-28 22:00:00,1,0.7659574468085106,0.23404255319148937,72,22,0.0,22.0,Monday
2021-06-28 22:30:00,0,0.5714285714285714,0.42857142857142855,8,6,0.0,6.0,Monday
2021-06-28 23:00:00,0,,,0,0,0.0,0.0,Monday
2021-06-28 23:30:00,0,,,0,0,0.0,0.0,Monday
2021-06-29 00:00:00,0,,,0,0,0.0,0.0,Tuesday
2021-06-29 00:30:00,0,,,0,0,0.0,0.0,Tuesday
2021-06-29 01:00:00,0,,,0,0,0.0,0.0,Tuesday
2021-06-29 01:30:00,0,,,0,0,0.0,0.0,Tuesday
2021-06-29 02:00:00,0,,,0,0,0.0,0.0,Tuesday
2021-06-29 02:30:00,0,,,0,0,0.0,0.0,Tuesday
2021-06-29 03:00:00,0,,,0,0,0.0,0.0,Tuesday
2021-06-29 03:30:00,1,0.84,0.16,42,8,0.0,8.0,Tuesday
2021-06-29 04:00:00,19,0.7311320754716981,0.2688679245283019,155,57,0.0,57.0,Tuesday
2021-06-29 04:30:00,17,0.8586118251928021,0.14138817480719795,334,55,2.0,53.0,Tuesday
2021-06-29 05:00:00,56,0.766798418972332,0.233201581027668,194,59,0.0,59.0,Tuesday
2021-06-29 05:30:00,59,0.8984509466437177,0.10154905335628227,522,59,0.0,59.0,Tuesday
2021-06-29 06:00:00,28,0.9147640791476408,0.0852359208523592,601,56,0.0,56.0,Tuesday
2021-06-29 06:30:00,59,0.9090909090909091,0.09090909090909091,650,65,0.0,65.0,Tuesday
2021-06-29 07:00:00,33,0.8810020876826722,0.11899791231732777,422,57,1.0,56.0,Tuesday
2021-06-29 07:30:00,31,0.8824701195219123,0.11752988047808766,443,59,0.0,59.0,Tuesday
2021-06-29 08:00:00,21,0.8936170212765957,0.10638297872340426,462,55,4.0,51.0,Tuesday
2021-06-29 08:30:00,13,0.8592592592592593,0.14074074074074075,232,38,0.0,38.0,Tuesday
2021-06-29 09:00:00,11,0.9006968641114983,0.09930313588850175,517,57,0.0,57.0,Tuesday
2021-06-29 09:30:00,25,0.9214929214929215,0.07850707850707851,716,61,0.0,61.0,Tuesday
2021-06-29 10:00:00,54,0.9162162162162162,0.08378378378378379,678,62,0.0,62.0,Tuesday
2021-06-29 10:30:00,51,0.950896336710834,0.049103663289166016,1220,63,0.0,63.0,Tuesday
2021-06-29 11:00:00,32,0.9414101290963257,0.05858987090367428,948,59,0.0,59.0,Tuesday
2021-06-29 11:30:00,38,0.9294797687861271,0.07052023121387284,804,61,0.0,61.0,Tuesday
2021-06-29 12:00:00,37,0.8805394990366089,0.11946050096339114,457,62,0.0,62.0,Tuesday
2021-06-29 12:30:00,47,0.9232613908872902,0.07673860911270983,770,64,1.0,63.0,Tuesday
2021-06-29 13:00:00,45,0.9222082810539524,0.07779171894604768,735,62,0.0,62.0,Tuesday
2021-06-29 13:30:00,56,0.9314671814671814,0.06853281853281853,965,71,0.0,71.0,Tuesday
2021-06-29 14:00:00,63,0.932648401826484,0.06735159817351598,817,59,1.0,58.0,Tuesday
2021-06-29 14:30:00,26,0.9182879377431906,0.08171206225680934,708,63,0.0,63.0,Tuesday
2021-06-29 15:00:00,46,0.9128787878787878,0.08712121212121213,723,69,0.0,69.0,Tuesday
2021-06-29 15:30:00,12,0.8770949720670391,0.12290502793296089,471,66,0.0,66.0,Tuesday
2021-06-29 16:00:00,45,0.9444885011895321,0.05551149881046788,1191,70,3.0,67.0,Tuesday
2021-06-29 16:30:00,25,0.8795888399412628,0.12041116005873716,599,82,0.0,82.0,Tuesday
2021-06-29 17:00:00,33,0.9199475065616798,0.08005249343832022,701,61,0.0,61.0,Tuesday
2021-06-29 17:30:00,35,0.9097744360902256,0.09022556390977443,605,60,1.0,59.0,Tuesday
2021-06-29 18:00:00,38,0.8943089430894309,0.10569105691056911,550,65,0.0,65.0,Tuesday
2021-06-29 18:30:00,23,0.9243902439024391,0.07560975609756097,758,62,1.0,61.0,Tuesday
2021-06-29 19:00:00,30,0.922077922077922,0.07792207792207792,639,54,0.0,54.0,Tuesday
2021-06-29 19:30:00,12,0.8492063492063492,0.15079365079365079,321,57,1.0,56.0,Tuesday
2021-06-29 20:00:00,24,0.8343949044585988,0.16560509554140126,131,26,0.0,26.0,Tuesday
2021-06-29 20:30:00,42,,,0,0,0.0,0.0,Tuesday
2021-06-29 21:00:00,40,,,0,0,0.0,0.0,Tuesday
2021-06-29 21:30:00,41,,,0,0,0.0,0.0,Tuesday
2021-06-29 22:00:00,0,0.9186440677966101,0.08135593220338982,271,24,0.0,24.0,Tuesday
2021-06-29 22:30:00,0,0.6666666666666666,0.3333333333333333,4,2,0.0,2.0,Tuesday
2021-06-29 23:00:00,0,,,0,0,0.0,0.0,Tuesday
2021-06-29 23:30:00,0,,,0,0,0.0,0.0,Tuesday
2021-06-30 00:00:00,0,,,0,0,0.0,0.0,Wednesday
2021-06-30 00:30:00,0,,,0,0,0.0,0.0,Wednesday
2021-06-30 01:00:00,0,,,0,0,0.0,0.0,Wednesday
2021-06-30 01:30:00,0,,,0,0,0.0,0.0,Wednesday
2021-06-30 02:00:00,0,,,0,0,0.0,0.0,Wednesday
2021-06-30 02:30:00,0,,,0,0,0.0,0.0,Wednesday
2021-06-30 03:00:00,0,,,0,0,0.0,0.0,Wednesday
2021-06-30 03:30:00,0,0.3333333333333333,0.6666666666666666,8,16,0.0,16.0,Wednesday
2021-06-30 04:00:00,0,0.8258064516129032,0.17419354838709677,256,54,2.0,52.0,Wednesday
2021-06-30 04:30:00,0,0.6617647058823529,0.3382352941176471,90,46,0.0,46.0,Wednesday
2021-06-30 05:00:00,0,0.815028901734104,0.18497109826589594,282,64,1.0,63.0,Wednesday
2021-06-30 05:30:00,0,0.8242074927953891,0.17579250720461095,286,61,0.0,61.0,Wednesday
2021-06-30 06:00:00,0,0.8757396449704142,0.1242603550295858,444,63,1.0,62.0,Wednesday
2021-06-30 06:30:00,0,0.909972299168975,0.09002770083102493,657,65,0.0,65.0,Wednesday
2021-06-30 07:00:00,0,0.8694779116465864,0.13052208835341367,433,65,4.0,61.0,Wednesday
2021-06-30 07:30:00,0,0.8463687150837989,0.15363128491620112,303,55,0.0,55.0,Wednesday
2021-06-30 08:00:00,0,0.8369565217391305,0.16304347826086957,308,60,0.0,60.0,Wednesday
2021-06-30 08:30:00,0,0.8436657681940701,0.15633423180592992,313,58,0.0,58.0,Wednesday
2021-06-30 09:00:00,0,0.8895463510848126,0.11045364891518737,451,56,0.0,56.0,Wednesday
2021-06-30 09:30:00,0,0.9231788079470199,0.07682119205298013,697,58,0.0,58.0,Wednesday
2021-06-30 10:00:00,0,0.9171052631578948,0.08289473684210526,697,63,0.0,63.0,Wednesday
2021-06-30 10:30:00,0,0.9015471167369902,0.09845288326300984,641,70,2.0,68.0,Wednesday
2021-06-30 11:00:00,0,0.9141274238227147,0.08587257617728532,660,62,3.0,59.0,Wednesday
2021-06-30 11:30:00,0,0.8933092224231465,0.10669077757685352,494,59,0.0,59.0,Wednesday
2021-06-30 12:00:00,0,0.9185567010309278,0.08144329896907217,891,79,4.0,75.0,Wednesday
2021-06-30 12:30:00,0,0.9285714285714286,0.07142857142857142,819,63,0.0,63.0,Wednesday
2021-06-30 13:00:00,0,0.9134078212290503,0.08659217877094973,654,62,0.0,62.0,Wednesday
2021-06-30 13:30:00,0,0.928,0.072,812,63,0.0,63.0,Wednesday
2021-06-30 14:00:00,0,0.9498039215686275,0.05019607843137255,1211,64,3.0,61.0,Wednesday
2021-06-30 14:30:00,0,0.8978930307941653,0.10210696920583469,554,63,1.0,62.0,Wednesday
2021-06-30 15:00:00,0,0.933972310969116,0.06602768903088392,877,62,0.0,62.0,Wednesday
2021-06-30 15:30:00,0,0.950487012987013,0.049512987012987016,1171,61,0.0,61.0,Wednesday
2021-06-30 16:00:00,0,0.921595598349381,0.07840440165061899,670,57,0.0,57.0,Wednesday
2021-06-30 16:30:00,0,0.8894927536231884,0.1105072463768116,491,61,0.0,61.0,Wednesday
2021-06-30 17:00:00,0,0.9063492063492063,0.09365079365079365,571,59,0.0,59.0,Wednesday
2021-06-30 17:30:00,0,0.8828125,0.1171875,452,60,0.0,60.0,Wednesday
2021-06-30 18:00:00,0,0.8918406072106262,0.10815939278937381,470,57,0.0,57.0,Wednesday
2021-06-30 18:30:00,0,0.8992805755395683,0.10071942446043165,500,56,0.0,56.0,Wednesday
2021-06-30 19:00:00,0,0.9515201314708299,0.04847986852917009,1158,59,0.0,59.0,Wednesday
2021-06-30 19:30:00,0,0.8529411764705882,0.14705882352941177,348,60,0.0,60.0,Wednesday
2021-06-30 20:00:00,0,0.936,0.064,819,56,0.0,56.0,Wednesday
2021-06-30 20:30:00,0,0.9601029601029601,0.039897039897039896,1492,62,0.0,62.0,Wednesday
2021-06-30 21:00:00,0,0.9409368635437881,0.059063136456211814,924,58,0.0,58.0,Wednesday
2021-06-30 21:30:00,0,0.8783505154639175,0.12164948453608247,426,59,0.0,59.0,Wednesday
2021-06-30 22:00:00,0,0.23076923076923078,0.7692307692307693,3,10,0.0,10.0,Wednesday
2021-06-30 22:30:00,0,0.5666666666666667,0.43333333333333335,17,13,0.0,13.0,Wednesday
2021-06-30 23:00:00,0,,,0,0,0.0,0.0,Wednesday
2021-06-30 23:30:00,0,,,0,0,0.0,0.0,Wednesday
2021-07-01 00:00:00,0,0.0,1.0,0,2,0.0,2.0,Thursday
2021-07-01 00:30:00,0,,,0,0,0.0,0.0,Thursday
2021-07-01 01:00:00,0,,,0,0,0.0,0.0,Thursday
2021-07-01 01:30:00,0,,,0,0,0.0,0.0,Thursday
2021-07-01 02:00:00,0,,,0,0,0.0,0.0,Thursday
