time,total,perc_randomised,perc_vendor,count_randomised,count_vendor,apple,not_apple
2021-06-07 10:00:00,2,0.9401709401709402,0.05982905982905983,1980,126,2.0,124.0
2021-06-07 11:00:00,0,0.929584866001051,0.07041513399894903,1769,134,2.0,132.0
2021-06-07 12:00:00,1,0.9109341057204924,0.0890658942795076,1258,123,0.0,123.0
2021-06-07 13:00:00,0,0.9206852791878173,0.07931472081218274,1451,125,2.0,123.0
2021-06-07 14:00:00,1,0.9295205083766609,0.07047949162333911,1609,122,0.0,122.0
2021-06-07 15:00:00,1,0.9124620060790274,0.08753799392097264,1501,144,1.0,143.0
2021-06-07 16:00:00,0,0.8731563421828908,0.12684365781710916,888,129,1.0,128.0
2021-06-07 17:00:00,0,0.9051321928460342,0.09486780715396578,1164,122,0.0,122.0
2021-06-07 18:00:00,3,0.8821256038647343,0.1178743961352657,913,122,0.0,122.0
2021-06-07 19:00:00,1,0.863431151241535,0.136568848758465,765,121,0.0,121.0
2021-06-07 20:00:00,7,0.9272510435301133,0.0727489564698867,1555,122,0.0,122.0
2021-06-07 21:00:00,0,0.7296037296037297,0.2703962703962704,313,116,0.0,116.0
2021-06-07 22:00:00,0,0.0,1.0,0,3,0.0,3.0
2021-06-07 23:00:00,0,,,0,0,0.0,0.0
2021-06-08 00:00:00,0,,,0,0,0.0,0.0
2021-06-08 01:00:00,0,,,0,0,0.0,0.0
2021-06-08 02:00:00,0,,,0,0,0.0,0.0
2021-06-08 03:00:00,0,0.0,1.0,0,5,0.0,5.0
2021-06-08 04:00:00,0,0.39603960396039606,0.6039603960396039,80,122,0.0,122.0
2021-06-08 05:00:00,0,0.7721518987341772,0.22784810126582278,427,126,0.0,126.0
2021-06-08 06:00:00,1,0.9527272727272728,0.04727272727272727,1310,65,0.0,65.0
2021-06-08 07:00:00,1,0.8477722772277227,0.15222772277227722,685,123,1.0,122.0
2021-06-08 08:00:00,0,0.8772893772893773,0.1227106227106227,958,134,1.0,133.0
2021-06-08 09:00:00,0,0.9027552674230146,0.09724473257698542,1114,120,0.0,120.0
2021-06-08 10:00:00,2,0.9111556446225785,0.08884435537742151,1364,133,2.0,131.0
2021-06-08 11:00:00,2,0.947008547008547,0.05299145299145299,2216,124,1.0,123.0
2021-06-08 12:00:00,0,0.9320021586616298,0.06799784133837021,1727,126,0.0,126.0
2021-06-08 13:00:00,1,0.9340949033391915,0.06590509666080843,2126,150,1.0,149.0
2021-06-08 14:00:00,0,0.9352344127597874,0.06476558724021267,1935,134,1.0,133.0
2021-06-08 15:00:00,3,0.9284928492849285,0.07150715071507151,1688,130,2.0,128.0
2021-06-08 16:00:00,2,0.9089664613278576,0.09103353867214237,1328,133,4.0,129.0
2021-06-08 17:00:00,0,0.94018296973962,0.059817030260380016,1336,85,0.0,85.0
2021-06-08 18:00:00,0,0.9847009735744089,0.015299026425591099,708,11,0.0,11.0
2021-06-08 19:00:00,2,0.9055829228243021,0.09441707717569786,1103,115,0.0,115.0
2021-06-08 20:00:00,3,0.912308930008045,0.08769106999195495,1134,109,1.0,108.0
2021-06-08 21:00:00,2,0.8661311914323963,0.13386880856760375,647,100,0.0,100.0
2021-06-08 22:00:00,0,0.6176470588235294,0.38235294117647056,21,13,0.0,13.0
2021-06-08 23:00:00,0,,,0,0,0.0,0.0
2021-06-09 00:00:00,0,,,0,0,0.0,0.0
2021-06-09 01:00:00,0,,,0,0,0.0,0.0
2021-06-09 02:00:00,0,,,0,0,0.0,0.0
2021-06-09 03:00:00,6,0.6909090909090909,0.3090909090909091,38,17,0.0,17.0
2021-06-09 04:00:00,18,0.6954022988505747,0.3045977011494253,242,106,0.0,106.0
2021-06-09 05:00:00,46,0.8323615160349854,0.16763848396501457,571,115,0.0,115.0
2021-06-09 06:00:00,83,0.8920502092050209,0.10794979079497909,1066,129,1.0,128.0
2021-06-09 07:00:00,63,0.8257918552036199,0.17420814479638008,730,154,1.0,153.0
2021-06-09 08:00:00,31,0.7346938775510204,0.2653061224489796,324,117,0.0,117.0
2021-06-09 09:00:00,48,0.8610478359908884,0.13895216400911162,756,122,4.0,118.0
2021-06-09 10:00:00,47,0.8718861209964412,0.12811387900355872,980,144,0.0,144.0
2021-06-09 11:00:00,60,0.8758486905916586,0.12415130940834142,903,128,0.0,128.0
2021-06-09 12:00:00,73,0.8815261044176707,0.11847389558232932,878,118,1.0,117.0
2021-06-09 13:00:00,68,0.9148455162019593,0.08515448379804069,1214,113,0.0,113.0
2021-06-09 14:00:00,73,,,0,0,0.0,0.0
2021-06-09 15:00:00,92,,,0,0,0.0,0.0
2021-06-09 16:00:00,1,,,0,0,0.0,0.0
2021-06-09 17:00:00,0,,,0,0,0.0,0.0
2021-06-09 18:00:00,0,,,0,0,0.0,0.0
2021-06-09 19:00:00,0,,,0,0,0.0,0.0
2021-06-09 20:00:00,0,,,0,0,0.0,0.0
2021-06-09 21:00:00,0,,,0,0,0.0,0.0
2021-06-09 22:00:00,0,,,0,0,0.0,0.0
2021-06-09 23:00:00,0,,,0,0,0.0,0.0
2021-06-10 00:00:00,0,,,0,0,0.0,0.0
2021-06-10 01:00:00,0,,,0,0,0.0,0.0
