time,total,perc_randomised,perc_vendor,count_randomised,count_vendor,apple,not_apple
2021-06-07,163,0.9441624365482234,0.05583756345177665,186,11,0.0,11.0
2021-06-08,694,0.9956709956709957,0.004329004329004329,230,1,1.0,0.0
2021-06-09,420,0.9847908745247148,0.015209125475285171,259,4,0.0,4.0
2021-06-10,740,0.9763513513513513,0.02364864864864865,289,7,1.0,6.0
2021-06-11,651,0.979498861047836,0.02050113895216401,430,9,1.0,8.0
2021-06-12,671,0.9831932773109243,0.01680672268907563,117,2,0.0,2.0
2021-06-13,654,1.0,0.0,100,0,0.0,0.0
2021-06-14,673,0.9813084112149533,0.018691588785046728,210,4,0.0,4.0
2021-06-15,769,0.9427312775330396,0.05726872246696035,214,13,0.0,13.0
2021-06-16,765,0.9696969696969697,0.030303030303030304,224,7,0.0,7.0
