time,total,perc_randomised,perc_vendor,count_randomised,count_vendor,apple,not_apple
2021-08-30 07:00:00,37,0.9136904761904762,0.08630952380952381,307,29,1.0,28.0
2021-08-30 08:00:00,35,0.9349442379182156,0.06505576208178439,503,35,2.0,33.0
2021-08-30 09:00:00,34,0.9666666666666667,0.03333333333333333,667,23,1.0,22.0
2021-08-30 10:00:00,59,0.9561752988047809,0.043824701195219126,480,22,1.0,21.0
2021-08-30 11:00:00,52,0.9424184261036468,0.05758157389635317,491,30,0.0,30.0
2021-08-30 12:00:00,38,0.9411764705882353,0.058823529411764705,496,31,0.0,31.0
2021-08-30 13:00:00,36,0.9467889908256881,0.05321100917431193,516,29,1.0,28.0
2021-08-30 14:00:00,40,0.9607535321821036,0.03924646781789639,612,25,1.0,24.0
2021-08-30 15:00:00,31,0.9706422018348624,0.029357798165137616,529,16,1.0,15.0
2021-08-30 16:00:00,32,0.9726027397260274,0.0273972602739726,639,18,2.0,16.0
2021-08-30 17:00:00,46,0.9656160458452722,0.034383954154727794,337,12,0.0,12.0
2021-08-30 18:00:00,35,0.896774193548387,0.1032258064516129,417,48,5.0,43.0
2021-08-30 19:00:00,27,0.9355432780847146,0.06445672191528545,508,35,0.0,35.0
2021-08-30 20:00:00,29,0.8487972508591065,0.15120274914089346,247,44,0.0,44.0
2021-08-30 21:00:00,23,0.8642659279778393,0.13573407202216067,312,49,0.0,49.0
2021-08-30 22:00:00,5,0.8333333333333334,0.16666666666666666,65,13,0.0,13.0
2021-08-30 23:00:00,0,,,0,0,0.0,0.0
2021-08-31 00:00:00,0,,,0,0,0.0,0.0
2021-08-31 01:00:00,0,,,0,0,0.0,0.0
2021-08-31 02:00:00,0,,,0,0,0.0,0.0
2021-08-31 03:00:00,0,,,0,0,0.0,0.0
2021-08-31 04:00:00,4,0.8571428571428571,0.14285714285714285,144,24,0.0,24.0
2021-08-31 05:00:00,22,0.9067524115755627,0.0932475884244373,282,29,2.0,27.0
2021-08-31 06:00:00,49,0.9532497149372862,0.046750285062713795,836,41,2.0,39.0
2021-08-31 07:00:00,39,0.9755600814663951,0.024439918533604887,479,12,0.0,12.0
2021-08-31 08:00:00,30,0.9444444444444444,0.05555555555555555,442,26,0.0,26.0
2021-08-31 09:00:00,30,0.9573820395738204,0.0426179604261796,629,28,0.0,28.0
2021-08-31 10:00:00,72,0.9720588235294118,0.027941176470588237,1322,38,0.0,38.0
2021-08-31 11:00:00,40,0.9488752556237219,0.05112474437627812,464,25,1.0,24.0
2021-08-31 12:00:00,45,0.9689213893967094,0.031078610603290677,530,17,3.0,14.0
2021-08-31 13:00:00,59,0.982,0.018,982,18,0.0,18.0
2021-08-31 14:00:00,55,0.9665032679738562,0.03349673202614379,1183,41,9.0,32.0
2021-08-31 15:00:00,54,0.9343065693430657,0.06569343065693431,640,45,0.0,45.0
2021-08-31 16:00:00,29,0.9563492063492064,0.04365079365079365,723,33,1.0,32.0
